Tipo_Error,Archivo,Linea,Valor_Error,Descripción
Advertencia,AM,2,17134-01,Este valor no esta en el archivo de códigos
Advertencia,AM,3,C03AH006011,Este valor no esta en el archivo de códigos
Advertencia,AM,4,19905554-04,Este valor no esta en el archivo de códigos
Advertencia,AM,5,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,6,19962943-01,Este valor no esta en el archivo de códigos
Advertencia,AM,7,17134-01,Este valor no esta en el archivo de códigos
Advertencia,AM,8,23947-02,Este valor no esta en el archivo de códigos
Advertencia,AM,9,H02AP027011,Este valor no esta en el archivo de códigos
Advertencia,AM,10,17135-01,Este valor no esta en el archivo de códigos
Advertencia,AM,11,B03BF014011,Este valor no esta en el archivo de códigos
Advertencia,AM,12,C03AH006011,Este valor no esta en el archivo de códigos
Advertencia,AM,13,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,14,C07AM017161,Este valor no esta en el archivo de códigos
Advertencia,AM,15,51334-03,Este valor no esta en el archivo de códigos
Advertencia,AM,16,23947-02,Este valor no esta en el archivo de códigos
Advertencia,AM,17,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,18,19908144-01,Este valor no esta en el archivo de códigos
Advertencia,AM,19,N04BL003011,Este valor no esta en el archivo de códigos
Advertencia,AM,20,19914262-01,Este valor no esta en el archivo de códigos
Advertencia,AM,21,19950478-01,Este valor no esta en el archivo de códigos
Advertencia,AM,22,C03AH006011,Este valor no esta en el archivo de códigos
Advertencia,AM,23,C07AM017161,Este valor no esta en el archivo de códigos
Advertencia,AM,24,19962943-01,Este valor no esta en el archivo de códigos
Advertencia,AM,25,19953919-06,Este valor no esta en el archivo de códigos
Advertencia,AM,26,19924-01,Este valor no esta en el archivo de códigos
Advertencia,AM,27,23947-02,Este valor no esta en el archivo de códigos
Advertencia,AM,28,C07AM017161,Este valor no esta en el archivo de códigos
Advertencia,AM,29,51334-03,Este valor no esta en el archivo de códigos
Advertencia,AM,30,1981505-06,Este valor no esta en el archivo de códigos
Advertencia,AM,31,23947-02,Este valor no esta en el archivo de códigos
Advertencia,AM,32,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,33,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,34,C03AH006011,Este valor no esta en el archivo de códigos
Advertencia,AM,35,19905554-04,Este valor no esta en el archivo de códigos
Advertencia,AM,36,G03DM004711,Este valor no esta en el archivo de códigos
Advertencia,AM,37,C03AH006011,Este valor no esta en el archivo de códigos
Advertencia,AM,38,51334-03,Este valor no esta en el archivo de códigos
Advertencia,AM,39,1981505-06,Este valor no esta en el archivo de códigos
Advertencia,AM,40,219782-03,Este valor no esta en el archivo de códigos
Advertencia,AM,41,N03AV011141,Este valor no esta en el archivo de códigos
Advertencia,AM,42,C03AH006011,Este valor no esta en el archivo de códigos
Advertencia,AM,43,C07AM017161,Este valor no esta en el archivo de códigos
Advertencia,AM,44,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,45,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,46,J01DI004721,Este valor no esta en el archivo de códigos
Advertencia,AM,47,17145-02,Este valor no esta en el archivo de códigos
Advertencia,AM,48,10313237,Este valor no esta en el archivo de códigos
Advertencia,AM,49,P02CA008011,Este valor no esta en el archivo de códigos
Advertencia,AM,50,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,51,17134-01,Este valor no esta en el archivo de códigos
Advertencia,AM,52,H03AL006012,Este valor no esta en el archivo de códigos
Advertencia,AM,53,H03AL006011,Este valor no esta en el archivo de códigos
Advertencia,AM,54,A02BO002101,Este valor no esta en el archivo de códigos
Advertencia,AM,55,19908144-01,Este valor no esta en el archivo de códigos
Advertencia,AM,56,19905554-04,Este valor no esta en el archivo de códigos
Advertencia,AM,57,M01AD015021,Este valor no esta en el archivo de códigos
Advertencia,AM,58,A02BO002101,Este valor no esta en el archivo de códigos
Advertencia,AM,59,19917651-01,Este valor no esta en el archivo de códigos
Advertencia,AM,60,G03AC06,Este valor no esta en el archivo de códigos
Advertencia,AM,61,19912860-01,Este valor no esta en el archivo de códigos
Advertencia,AM,62,214251-04,Este valor no esta en el archivo de códigos
Advertencia,AM,63,C03AH006011,Este valor no esta en el archivo de códigos
Advertencia,AM,64,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,65,C07AM017161,Este valor no esta en el archivo de códigos
Advertencia,AM,66,G03AL005161,Este valor no esta en el archivo de códigos
Advertencia,AM,67,G03AL005161,Este valor no esta en el archivo de códigos
Advertencia,AM,68,N03AV012221,Este valor no esta en el archivo de códigos
Advertencia,AM,69,19934768-10,Este valor no esta en el archivo de códigos
Advertencia,AM,70,19917651-01,Este valor no esta en el archivo de códigos
Advertencia,AM,71,H03AL006011,Este valor no esta en el archivo de códigos
Advertencia,AM,72,H03AL006012,Este valor no esta en el archivo de códigos
Advertencia,AM,73,J01DI004721,Este valor no esta en el archivo de códigos
